,,,,, ,
,,,,,,
,,,,ITEM,QTY,PRICE
,,,,ESP 32: (https://www.alibaba.com/product-detail/Honclay-ESP32-WROVER-B-2-4_1601389846036.html ),1,5.5
,,,,OLD ALEXA,1,11
,,,,MAX98306 (https://www.alibaba.com/product-detail/MAX98357-I2S-3W-Class-D-Amplifier_1601038994058.html ),1,1.7
,,,,Buttons (https://www.alibaba.com/product-detail/QQX-Waterproof-Tactile-Switch-250V-6_1601067776690.html ),10 min,0.3
,,,,Display (https://www.alibaba.com/product-detail/Stock-0-91-Inch-128x32-IIC_1600857138591.html ),1,1.24
,,,,Rotary Encoder,1,N/A
,,,, 4 HOURS WORTH OF KOI,TOTAL,20.73
